,,,,,,
,,,,,,
Группа проверок,Название проверки,Проверка,Приоритет,Отметка о прохождении теста,Мои комментарии и вопросы,Комментарии руководителя
Установка приложения и авторизация,Установка  приложения,"Приложение устанавливается на гаджет, нет сообщения об ошибке при установке приложения",Высокий,Пройден,,
,Удаление приложения ,"Приложение удаляется с гаджета, нет сообщений об ошибке или невозможности удаления",Высокий ,Пройден,,
,Вход в аккаунт зарегестрированного,"Вход в аккаунт происходит корректно, нет сообщения об ошибке",Высокий,Пhойден,,
,Выход из аккаунта,"Выход из аккаунта происходит корректно, нет сообщения об ошибке",Высокий,Пройден,,
,"Обработка ошибок (неверный логин или пароль, отправка пустой формы, отправка формы с неполностью заполненными полями) :  пользователь видит понятное сообщение.","Нельзя войти в аккаунт без отправки формы, заполненной корректными данными зарегестрированного пользователя",Высокий,Пройден,,
"Навигация по Главнаой странице приложения Main, верхняя панель",Открытие бокового меню," При нажатии на кнопку «Гамбургер» слева выезжает панель (меню), а основной экран затемняется.",Высокий,Пройден,,
,Закрытие бокового меню,": При открытой панели  (меню) нажатие на кнопку ""Гамбургер"" закрываеи боковое меню",Высокий,Пройден,,
,Открытие ленты цитат,"Нажать на кнопку с иконкой  ""бабочка"" - открывается лента цитат",Высокий ,Пройден,,
,Закрытие ленты цитат," При нажатии на кнопку с иконкой ""бабочка"" при открытой ленте цитат, лента цитат закрывается",Cредний,Не пройден,Или пройден - лента цитат так и не должна закрываться? Выйти из нее можно через главное меню.,
,,Кнопка авторизации - открытие,,,,
,,Кнопка авторизации - закрытие,,,,
,Переход на страницу News ,"Нажать кнопку ""Гамбургер"" - в раскрывшемся списке выбрать News - открывается страница News",,,,
,,,,,,
"Навигация по Главной странице приложения Main, основная область экрана",Переход к списку последних новостей,"Кликнув по галочке рядом с надписью News, открывается выпадающий список с заголовками новостей  и датами последних новостей, кнопкой для перехода к странице новостей All News",Высокий,Пройден,,
,Переход к чтению новости из списка последних новостей,При клике по  галочке рядом с названием новости - открывается выбранная новость в режиме для чтения.,Высокий,Пройден,,
,Переход на страницу News,"Кликнуть на кнопку All News - произойдет переход на страницу News прсмотр, создание и редактирование новостей ",Высокий,Пройден,,
Навигация по Странице новостей News,Выбор новости для чтения на странице News,При клике по  галочке рядом с названием новости - открывается выбранная новость в режиме для чтения.,Высокий ,Пройден,,
,Сортировка новостей на странице News по дате ,"При первом входе в раздел в раздел активна сортировка  по ""убыванию"" даты публикации новости. При нажатии на кнопку активируется сортировка по ""возрастанию"" даты. При поторном нажатии снова активируется сортировка по ""убыванию""",Среднтй,Пройден,,
,Фильтрация новостей на странице All News по категории и дате,При нажатии на кнопку фильтра происходит переход на экран Filter news,Высокий,Пройден,,
,,На экране Filter news присутствует кнопка Category и стрелка  открытия/закрытия  спискаю Присутствуют два поля  для выбора дат: «Начальная дата» и «Конечная дата». В полях отображается подсказка «DD.MM.YYYY». Присутствует кнопка Filter. Присутствует кнопка Cancel.,Высокий ,Пройден,,
,,"При нажатии на кнопку Category открывается выпадающий список с категориями: Объявление, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь. ",Высокий ,Пройден,,
,," При нажатии на любой пункт (например, «Праздник») список закрывается, а на кнопке Category отображается выбранное значение (становится «Праздник»).",Высокий,Пройден,"Надо ли в чек-листе писать проверку для каждой категории (Объявление, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь) отдельно? Или достаточно в таком виде?",
,,Без выбора список закрывается при нажатии на кнопку Category или стрелку открытия/закрытия списка,Высокий,Пройден,,
,, При нажатии на поле «Начальная дата» открывается календарь,Высокий,Пройден,,
,,В календаре «Начальная дата» возможно выбрать число месяца кликнув по нужному числу,,,,
,,"В календаре ""Начальная дата"" возможно переключение между месяцами с помощью стрелок",Высокий,Пройден,,
,,"В календаре ""Начальная дата"" возможно выбрать год с помощью прокрутки.",Высокий,Пройден,,
,,"В календаре ""Начальная дата"" выбранная дата сохраняется после нажатия кнопки ""Ок"". Дата отображается в корректном формате выбранная дата отображается в корректном формате dd.mm.yyyy",Высокий,Пройден,,
,,"Календарь ""Начальная дата"" закрывается при нажатии кнопки Cancel. Поле ""Начальная дата"" остаётся без изменений. ",Средний,Пройден,,
,,При нажатии на поле «Конечная дата» открывается календарь,Высокий,Пройден,,
,,В календаре  «Конечная дата» возможно выбрать число месяца кликнув по нужному числу,,,,
,,"В календаре ""Конечная дата"" возможно переключение между месяцами с помощью стрелок",Высокий,Пройден,,
,,"В календаре ""Конечная дата"" возможно выбрать год с помощью прокрутки.",Высокий,Пройден,,
,,"В календаре ""Конечная дата"" выбранная дата сохраняется после нажатия кнопки ""Ок"". В поле ""Конечная дата"" выбранная дата отображается в корректном формате dd.mm.yyyy",Высокий,Пройден,,
,,"Календарь ""Начальная дата"" закрывается при нажатии кнопки Cancel. Поле ""Начальная дата"" остаётся без изменений.",Средний,Пройден,,
,,Применение фильтра с заданными параметрами: нажать кнопку  Filter после выбора даты. Происходит переход на страницу News. На странице отображаются новости выбранной категории за указанный период.,,,,
,,"Отмена фильтрации: нажать кнопкауCancel Происходит возврат на главный экран (список новостей). Список новостей остаётся без изменений (отображаются все новости, если ранее не был применён фильтр).",Низкий,Пройден,,
,," Отмена фильтрации (2-ой способ) Нажать системную кнопку «Назад» на экране Filter news.Происходит возврат на главный экран (список новостей). Список новостей остаётся без изменений (отображаются все новости, если ранее не был применён фильтр). ",Высокий,Пройден,,
,Создание  новостей,"На странице  News нажать значок ""Карандаш"" - происходит переход на страницу создания / редактирования новостей Control panel",Высокий,Пройден,,
,,Кнопка добавления (кнопка с плюсом): при нажатии происходит переход на страницу с формой создания новостей. Creating News,Высокий,Пройден,,
,,Форма создания новости Creating News,,,,
,,"На странице    Creating News присутствует кнопка выбора Category, поле Title, поле выбора даты Publication date, поле выбора времени Time, поле для текста новости Description,  ",,,,
,,"Кнопка Category - при нажатии открывается список с категориями новостей: Объявление, День рождения, Зарплата,  Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь",Высокий,Пройден,,
,,Клик по категории из выпадающего  списка : в поле Title появляется выбранное название категории,Высокий,Пройден,,
,,Выбор даты публикации новости в календаре ,,,,
,,На странице  Creating News кликнуть на поле Publication date: открывается календарь с возможностью выбора даты,Высокий,Пройден,,
,,В календаре Publication date возможно переключение между месяцами с помощью стрелок,Высокий,Пройден,,
,,В календаре Publication date  возможно выбрать год с помощью прокрутки.,Высокий,Пройден,,
,,В календаре Publication date  возможно выбрать число месяца кликнув по нужному числу,Высокий,Пройден,,
,,"В календаре  выбранная дата сохраняется после нажатия кнопки ""Ок"". В поле Publication date  выбранная дата отображается в корректном формате dd.mm.yyyy",Высокий,Пройден,,
,,Выбор времени публикации новости в календаре,,,,
,,При нажатии на поле Tme  открывается интерфейс с аналоговым интерфейсом (круглыми часами) и возможностью выбора времени через цифровой ввод (клавиатура) ,,,,
,,Выбор времени через аналоговый интерфейс (круглые часы),,,,
,,"Выбор часа: При вращении круга или нажатии на цифру часа выбранное значение выделяется.
После выбора часа интерфейс автоматически переключается на выбор минут. В верхней панели отображается выбранное значение часа.",,,,
,,Выбор минуты: При вращении круга или нажатии на цифру минут выбранное значение выделяется..  В верхней панели отображается выбранное значение минут и раннее выбранного часа.,,,,
,,После нажатия кнопки Ок выбранное время  сохраняется и отображается в корректном формате hh mm в поле Time,,,,
,,Форма выбора времени закрывается при нажатии кнопки Cancel. Поле Tme остаётся без изменений,,,,
,,Выбор времени через цифровой ввод (клавиатура),,,,
,,Кликнуть по кнопке со значком клавиатуры (в нижнем левом углу аналгового интерфейса): открывается поле для ввода времени,,,,
,,При нажатии на поле для ввода времени открывается цифровая клавиатура ,,,,
,,При введении значения часа в 24-часовом формате поле принимает значение,,,,
,,При введении минут в диапазоне 00-59 поле принимает значение ,,,,
,,После нажатия кнопки Ок выбранное время  сохраняется и отображается в корректном формате hh mm в поле Time,,,,
,,Форма выбора времени закрывается при нажатии кнопки Cancel. Поле Tme остаётся без изменений.,,,,
,,Description,,,,
